id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
11,192.168.10.14-192.168.10.3-123-123-17,192.168.10.14,123,192.168.10.3,123,17,2017-07-07 12:00:57.864075,81488902,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,9.42459624747429,0.1963457551557143,5432593.466666667,16687370.403880406,63999756,3,81488823,11641260.42857143,23778955.278135374,63999831,3,81488804,11641257.714285713,23778958.70319596,63999835,3,0,0,0,0,0,0,64,64,0.0981728775778571,0.0981728775778571,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,7,8,974633.5,1378229.6053852928,1949189,78,39769776.5,34266365.62492207,63999756,15539797,-1,-1,0,DDOS,-1
12,192.168.10.25-192.168.10.3-49155-389-6,192.168.10.25,49155,192.168.10.3,389,6,2017-07-07 12:01:11.916755,41092854,380,242,52116,248334,1448,0,137.14736842105276,214.7739791740604,2910,0,1026.1735537190075,1047.2757520703203,7311.490216766156,15.136451705204022,66172.06763285026,1174110.7329960084,27707015,0,41092854,108424.41688654352,1502164.3027135476,27707015,1,41092676,170509.02904564314,1882409.558504966,27707302,1,174,174,0,0,0,0,12184,7760,9.247349916362586,5.889101788841437,0,2910,483.03858520900303,801.2273385913688,641965.2481062079,0,4,0,348,620,0,0,0,0.6368421052631579,483.0385852090032,137.14736842105262,1026.1735537190082,7176,6,117639344,85826,33,110671824,0,83,0,399,65535,2081,178,32,2094872.5,1991124.3074736693,3502810,686935,18441977.5,13102741.688395314,27707015,9176940,-1,-1,41092854,DDOS,-1
13,192.168.10.25-192.168.10.3-49157-3268-6,192.168.10.25,49157,192.168.10.3,3268,6,2017-07-07 12:01:12.433554,40573678,108,55,13988,13706,1305,0,129.51851851851845,209.67422356525188,2910,0,249.2,450.76007414637394,682.560747881915,4.0173828953835535,250454.80246913584,2294649.931419537,27715039,1,40573678,379193.2523364486,2819254.8139823917,27715039,1,40573516,751361.4074074073,3951216.857949586,27715469,3,52,52,0,0,0,0,3480,1776,2.6618242497019864,1.3555586456815671,0,2910,169.9018404907975,316.2084445878864,99987.7804286904,0,4,0,104,161,0,0,0,0.5092592592592593,169.90184049079755,129.5185185185185,249.2,0,0,0,0,0,0,0,85,0,84,65535,2079,52,32,1788938.0,1599066.8313244446,2919649,658227,18489055.5,13047510.991930395,27715039,9263072,-1,-1,40573678,DDOS,-1
14,192.168.10.51-224.0.0.251-5353-5353-17,192.168.10.51,5353,224.0.0.251,5353,17,2017-07-07 12:01:06.883689,90275363,270,0,39398,0,292,39,145.91851851851862,95.01184053402622,0,0,0.0,0.0,436.42028888878576,2.990849230924721,335596.1449814127,2588455.877092498,32003327,1,90275363,335596.1449814127,2588455.877092498,32003327,1,0,0.0,0.0,0,0,0,0,0,0,0,0,2160,0,2.990849230924721,0.0,39,292,145.91851851851862,95.01184053402622,9027.249841663228,0,0,0,0,0,0,0,0,0.0,145.9185185185185,145.9185185185185,0.0,3939,27,12743,0,0,0,1,145,0,0,0,0,269,8,3232310.9999999995,3758094.9690102297,7002616,16,19336525.75,10065769.115795884,32003327,8005391,-1,-1,0,DDOS,-1
15,192.168.10.50-192.168.10.3-56108-3268-6,192.168.10.50,56108,192.168.10.3,3268,6,2017-07-07 12:01:58.435434,113786535,36,18,7254,1296,403,0,201.49999999999997,204.3582987933553,72,72,72.0,0.0,75.14070096255237,0.4745728481845413,2146915.754716981,5411191.619333028,16401229,3,113786535,3251043.8571428563,6409957.364167928,16401229,3,113786202,6693306.0,7926916.434441674,16401569,3,18,18,0,0,0,0,1152,576,0.3163818987896942,0.1581909493948471,0,403,158.33333333333334,177.13250556660086,31375.924528301886,0,0,0,36,54,0,0,0,0.5,158.33333333333334,201.5,72.0,0,0,0,0,0,0,0,134,0,24,377,2078,17,32,450258.2857142858,1190350.7283184389,3149720,336,15804906.857142856,1184618.9204808197,16401229,13260673,-1,-1,241906774,DDOS,-1
16,192.168.10.50-192.168.10.3-42144-389-6,192.168.10.50,42144,192.168.10.3,389,6,2017-07-07 12:01:58.436387,113786494,36,18,7254,5688,403,0,201.49999999999997,204.3582987933553,316,316,316.0,0.0,113.73933359788728,0.4745730191845088,2146914.981132075,5411203.160674402,16401228,1,113786494,3251042.685714286,6409972.472627705,16401228,1,113786177,6693304.529411765,7926917.083515556,16401541,3,18,18,0,0,0,0,1152,576,0.3163820127896725,0.1581910063948362,0,403,239.66666666666669,174.77770247665708,30547.245283018863,0,0,0,36,54,0,0,0,0.5,239.66666666666663,201.5,316.0,0,0,0,0,0,0,0,134,0,105,1136,2078,17,32,450232.7142857143,1190349.657748332,3149692,285,15804932.714285716,1184651.22112512,16401228,13260625,-1,-1,241906608,DDOS,-1
17,192.168.10.17-224.0.0.251-5353-5353-17,192.168.10.17,5353,224.0.0.251,5353,17,2017-07-07 12:01:38.230258,87303666,264,0,31608,0,221,45,119.72727272727282,62.72749815856936,0,0,0.0,0.0,362.0466521990039,3.023927998624937,331953.10266159696,2558495.390977104,32018711,0,87303666,331953.10266159696,2558495.390977104,32018711,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2112,0,3.023927998624937,0.0,45,221,119.72727272727282,62.72749815856936,3934.7390252333225,0,0,0,0,0,0,0,0,0.0,119.72727272727272,119.72727272727272,0.0,3160,26,12248,0,0,0,1,119,0,0,0,0,263,8,2985234.0,3549130.2117736773,7005551,15,18840678.25,9988986.451847168,32018711,8002483,-1,-1,0,DDOS,-1
18,192.168.10.17-192.168.10.3-123-123-17,192.168.10.17,123,192.168.10.3,123,17,2017-07-07 12:01:40.135618,85015294,14,14,672,672,48,48,48.0,0.0,48,48,48.0,0.0,15.808920216167223,0.3293525045034838,3148714.592592593,13110962.06594882,67999941,3,85015207,6539631.307692307,18666062.107420266,68000006,3,85015202,6539630.923076924,18666068.320497125,68000027,3,0,0,0,0,0,0,112,112,0.1646762522517419,0.1646762522517419,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,13,8,3507686.0,4960519.533010429,7015303,69,38999916.0,41012228.66415881,67999941,9999891,-1,-1,0,DDOS,-1
19,192.168.10.17-129.128.12.20-123-123-17,192.168.10.17,123,129.128.12.20,123,17,2017-07-07 12:01:53.150831,69089591,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,11.116001540666234,0.2315833654305465,4605972.733333333,14497395.995329233,56909732,89662,68999929,9857132.714285716,20787998.4550384,56999882,1999946,68999005,9857000.714285716,20787841.47496537,56999394,1999649,0,0,0,0,0,0,64,64,0.1157916827152732,0.1157916827152732,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,7,8,12090197.0,0.0,12090197,12090197,56909732.0,0.0,56909732,56909732,-1,-1,0,DDOS,-1
20,192.168.10.17-108.59.2.24-123-123-17,192.168.10.17,123,108.59.2.24,123,17,2017-07-07 12:01:55.150815,67028350,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,10.025608567121225,0.2088668451483588,5156026.923076923,15597928.93669881,56971111,28405,66999945,11166657.5,22453602.658343226,56999882,1999946,66999631,11166605.166666666,22453448.99392331,56999516,1999851,0,0,0,0,0,0,56,56,0.1044334225741794,0.1044334225741794,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,6,8,10028834.0,0.0,10028834,10028834,56971111.0,0.0,56971111,56971111,-1,-1,0,DDOS,-1
21,192.168.10.17-198.206.133.14-123-123-17,192.168.10.17,123,198.206.133.14,123,17,2017-07-07 12:01:56.150803,66037754,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,10.175997203054482,0.2119999417303017,5079827.230769231,15317600.46386738,55961992,37641,65999962,10999993.666666666,22045369.63635298,55999916,1999940,66000069,11000011.5,22045296.233641297,55999784,1999902,0,0,0,0,0,0,56,56,0.1059999708651508,0.1059999708651508,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,6,8,10037970.0,0.0,10037970,10037970,55961992.0,0.0,55961992,55961992,-1,-1,0,DDOS,-1
22,192.168.10.17-206.108.0.133-123-123-17,192.168.10.17,123,206.108.0.133,123,17,2017-07-07 12:01:52.150817,74022037,9,9,432,432,48,48,48.0,0.0,48,48,48.0,0.0,11.672199726143717,0.243170827627994,4354237.470588235,13629969.355564326,56977835,21998,73999934,9249991.75,19322447.711885214,56999976,1999871,73999824,9249978.0,19322435.273711026,56999938,1999655,0,0,0,0,0,0,72,72,0.121585413813997,0.121585413813997,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,8,8,17022099.0,0.0,17022099,17022099,56977835.0,0.0,56977835,56977835,-1,-1,0,DDOS,-1
23,192.168.10.17-192.168.10.3-45344-3268-6,192.168.10.17,45344,192.168.10.3,3268,6,2017-07-07 12:01:46.565454,54731,18,13,4112,6798,1313,0,228.4444444444444,416.93788819724585,3069,0,522.9230769230768,942.6004333348656,199338.5832526356,566.4066068590013,1824.3666666666668,7568.479788517335,39999,1,54731,3219.470588235294,10015.503114657093,40245,1,14670,1222.5,3764.634703997913,13171,3,10,10,0,0,0,0,592,432,328.88125559554913,237.5253512634521,0,3069,351.9354838709677,689.7283975345596,475725.2623655915,0,4,0,20,29,0,0,0,0.7222222222222222,351.93548387096774,228.44444444444449,522.9230769230769,0,0,0,0,0,0,0,132,0,219,29200,2081,10,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,54731,DDOS,-1
24,192.168.10.17-192.168.10.3-51952-389-6,192.168.10.17,51952,192.168.10.3,389,6,2017-07-07 12:01:45.266280,1314441,28,19,5114,8670,1313,0,182.6428571428571,341.3562507807495,3069,0,456.3157894736841,774.3691376879045,10486.587073896811,35.756644839897724,28574.804347826088,162612.02405174507,1097107,1,1314441,48683.00000000001,211542.1252180502,1097107,1,1314342,73019.0,259381.68413408703,1097434,3,16,16,0,0,0,0,912,624,21.301830968449707,14.454813871448016,0,3069,293.27659574468083,566.9823899622364,321469.0305272895,0,4,0,32,45,0,0,0,0.6785714285714286,293.27659574468083,182.64285714285717,456.3157894736842,0,0,0,0,0,0,0,108,0,184,29200,2078,16,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1314441,DDOS,-1
25,192.168.10.17-91.189.89.198-123-123-17,192.168.10.17,123,91.189.89.198,123,17,2017-07-07 12:02:06.150805,64094095,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.995595772122221,0.0624082452525462,21364698.333333336,36841353.45336985,63905429,94144,63999951,63999951.0,0.0,63999951,63999951,63999573,63999573.0,0.0,63999573,63999573,0,0,0,0,0,0,16,16,0.0312041226262731,0.0312041226262731,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,94522.0,0.0,94522,94522,63905429.0,0.0,63905429,63905429,-1,-1,0,DDOS,-1
26,192.168.10.14-134.170.115.55-49447-443-6,192.168.10.14,49447,134.170.115.55,443,6,2017-07-07 12:01:35.853651,100217657,8,11,1225,4826,421,0,153.125,185.3293882331055,1460,0,438.72727272727263,575.7640299478755,60.37858179023283,0.189587349861911,5567647.611111111,15848566.291994745,58316682,13,100217657,14316808.142857142,23830468.393114563,58389036,244,100110855,10011085.5,20617596.53160052,58316682,49,4,4,0,0,0,0,172,232,0.0798262525734362,0.1097610972884748,0,1460,318.4736842105264,467.4554486699541,218514.5964912281,0,2,0,8,18,0,0,0,1.375,318.4736842105263,153.125,438.7272727272728,0,0,0,0,0,0,0,64,0,254,8192,252,4,20,91664.0,32897.43588792294,114926,68402,47993001.5,14599888.976706656,58316682,37669321,-1,-1,100217657,DDOS,-1
27,192.168.10.17-208.81.1.244-123-123-17,192.168.10.17,123,208.81.1.244,123,17,2017-07-07 12:02:04.150878,68042785,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,9.876138961684182,0.2057528950350871,5234060.384615385,15869336.304212691,57956957,42768,67999871,11333311.833333332,22861922.147303216,58000015,1999911,68000017,11333336.166666666,22861839.68323796,57999871,1999478,0,0,0,0,0,0,56,56,0.1028764475175435,0.1028764475175435,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,6,8,10042914.0,0.0,10042914,10042914,57956957.0,0.0,57956957,57956957,-1,-1,0,DDOS,-1
28,192.168.10.17-206.75.89.101-123-123-17,192.168.10.17,123,206.75.89.101,123,17,2017-07-07 12:02:04.150804,69085962,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,9.727012269149556,0.2026460889406157,5314304.76923077,16129880.182046903,58913939,85917,68999944,11499990.666666666,23270158.5985748,59000003,1999919,69000045,11500007.5,23270127.81732196,58999957,1999733,0,0,0,0,0,0,56,56,0.1013230444703078,0.1013230444703078,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,6,8,10086005.0,0.0,10086005,10086005,58913939.0,0.0,58913939,58913939,-1,-1,0,DDOS,-1
29,192.168.10.17-192.95.27.155-123-123-17,192.168.10.17,123,192.95.27.155,123,17,2017-07-07 12:02:06.150868,69016085,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,9.736860617347393,0.2028512628614039,5308929.615384615,16156388.824218916,58983646,16177,68999883,11499980.5,23270130.75606716,58999936,1999919,68999786,11499964.333333332,23270095.565126307,58999848,1999937,0,0,0,0,0,0,56,56,0.1014256314307019,0.1014256314307019,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,6,8,10016237.0,0.0,10016237,10016237,58983646.0,0.0,58983646,58983646,-1,-1,0,DDOS,-1
30,192.168.10.17-171.66.97.126-123-123-17,192.168.10.17,123,171.66.97.126,123,17,2017-07-07 12:02:08.150811,67083889,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,10.017308328680825,0.2086939235141838,5160299.153846154,15576790.21973445,56915804,83937,66999935,11166655.833333334,22453656.38393216,56999990,1999905,66999379,11166563.166666666,22453588.12625009,56999758,1999584,0,0,0,0,0,0,56,56,0.1043469617570919,0.1043469617570919,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,6,8,10084131.0,0.0,10084131,10084131,56915804.0,0.0,56915804,56915804,-1,-1,0,DDOS,-1
31,192.168.10.17-99.224.25.39-123-123-17,192.168.10.17,123,99.224.25.39,123,17,2017-07-07 12:01:54.150812,82057520,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,9.359288460094822,0.1949851762519754,5470501.333333334,15140924.760527724,58924450,52178,82000008,11714286.857142856,21250219.93627574,59000029,1999900,81995953,11713707.57142857,21241643.359614145,58981962,1994996,0,0,0,0,0,0,64,64,0.0974925881259877,0.0974925881259877,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,7,8,5068577.0,7080981.44893771,10075587,61567,35931427.0,32517044.966556508,58924450,12938404,-1,-1,0,DDOS,-1
32,192.168.10.25-192.168.10.255-138-138-17,192.168.10.25,138,192.168.10.255,138,17,2017-07-07 12:00:41.949996,102133850,48,0,10368,0,216,216,216.0,0.0,0,0,0.0,0.0,101.51384678047484,0.4699715128725687,2173060.638297873,11273558.870288271,71742215,1,102133850,2173060.638297873,11273558.870288271,71742215,1,0,0.0,0.0,0,0,0,0,0,0,0,0,384,0,0.4699715128725687,0.0,216,216,216.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,216.0,216.0,0.0,3456,16,265580,0,0,0,1,216,0,0,0,0,47,8,19508.5,27500.08982712602,38954,63,51047405.5,29266880.26562757,71742215,30352596,-1,-1,0,DDOS,-1
33,192.168.10.17-91.189.89.199-123-123-17,192.168.10.17,123,91.189.89.199,123,17,2017-07-07 12:02:17.150817,64094152,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.995593108088863,0.0624081897518513,21364717.333333336,36840656.30644406,63904643,94211,63999941,63999941.0,0.0,63999941,63999941,63998854,63998854.0,0.0,63998854,63998854,0,0,0,0,0,0,16,16,0.0312040948759256,0.0312040948759256,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,95298.0,0.0,95298,95298,63904643.0,0.0,63904643,63904643,-1,-1,0,DDOS,-1
